Spp,commonName,scientificName
2664,Heuglin's Wheatear,Oenanthe heuglinii
2286,Emin's Shrike,Lanius gubernator
3536,Collared Lark,Mirafra collaris
1850,Western Bronze-naped Pigeon,Columba iriditorques
1115,Bangwa Forest  Warbler,Bradypterus bangwaensis
1122,Cameroon  Sunbird,Cyanomitra oritis
1135,Yellow-breasted Boubou,Laniarius atroflavus
1806,Black-shouldered Nightjar,Caprimulgus nigriscapularis
1864,Cameroon Olive Pigeon,Columba sjostedti
2420,Mountain Sooty Boubou,Laniarius poensis
2924,Mountain Saw-wing,Psalidoprocne fuliginosa
3894,Bannerman's Weaver,Ploceus bannermani
1440,Western Tinkerbird,Pogoniulus coryphaea
2264,Grey-headed Broadbill,Smithornis sharpei
2764,Crossley's Ground Thrush,Geokichla crossleyi
3020,Grey-headed Greenbul,Phyllastrephus poliocephalus
3300,White-throated Mountain Babbler,Turdoides gilberti
4864,Western Greenbul,Arizelocichla tephrolaema
3062,Bamenda Apalis,Apalis bamendae
2878,Tit Hylia,Pholidornis rushiae
1126,White-bellied Crested Flycatcher,Elminia albiventris
1169,Green Longtail,Urolais epichlorus
1712,Bannerman's Turaco,Tauraco bannermani
1404,Elliot's Woodpecker,Dendropicos elliotii
3280,Melodious Warbler,Hippolais polyglotta
3218,Forest Forest (Green) White-eye,Zosterops stenocricotus
2642,Yellow-footed Flycatcher,Muscicapa sethsmithi
1139,Shelley Oliveback,Nesocharis shelleyi
3374,Black-capped Woodland Warbler,Phylloscopus herberti
1388,Little Grey Woodpecker,Dendropicos elachus
1740,Short-eared Owl,Asio flammeus
1764,Red-chested Owlet,Glaucidium tephronotum
1006,Eurasian Sparrowhawk,Accipiter nisus
2448,Fiery-breasted Bushshrike,Malaconotus cruentus
2604,Nimba  Flycatcher,Melaenornis annamarulae
3692,Jackson's Pipit,Anthus latistriatus
1158,African Piculet,Sasia africana
1338,Hartlaub's Duck,Pteronetta hartlaubii
2410,Chestnut-capped Flycatcher,Erythrocercus mccallii
2540,Fire-crested Alethe,Alethe castanea
2926,Square-tailed Saw-wing,Psalidoprocne nitens
2960,Sj\u00f6stedt's Greenbul,Baeopogon clamans
2970,Golden Greenbul,Calyptocichla serinus
2982,White-bearded Greenbul,Criniger ndussumensis
3580,Violet-tailed Sunbird,Anthreptes aurantius
3796,Cassin's  Malimbe,Malimbus cassini
3798,Red-crowned Malimbe,Malimbus coronatus
3826,Pale-fronted Nigrita,Nigrita luteifrons
3930,Preuss's Weaver,Ploceus preussi
1598,Yellow-throated  Cuckoo,Chrysococcyx flavigularis
1868,Afep Pigeon,Columba unicincta
2648,Grey-throated Tit-Flycatcher,Myioparus griseigularis
1007,F\u00fclleborn's Longclaw,Macronyx fuelleborni
3800,Red-bellied Malimbe,Malimbus erythrogaster
2956,Olive-headed Greenbul,Arizelocichla olivaceiceps
3578,Anchieta's Sunbird,Anthreptes anchietae
10030,Hybrid Common House/Barn Martin/Swallow,Hybrid Common House Martin/Barn Swallow
3312,Kemp's Longbill,Macrosphenus kempi
3888,Orange Weaver,Ploceus aurantius
1592,Dusky Long-tailed Cuckoo,Cercococcyx mechowi
3368,Iberian Chiffchaff,Phylloscopus ibericus
3400,Lesser Whitethroat,Curruca curruca
2902,Preuss's Cliff  Swallow,Petrochelidon preussi
2888,Forest Swallow,Petrochelidon fuliginosa
3700,Long-legged Pipit,Anthus pallidiventris
3110,Chattering Cisticola,Cisticola anonymus
1142,Chestnut-winged  Starling,Onychognathus fulgidus
2504,Many-colored Bushshrike,Chlorophoneus multicolor
1364,Cassin's Honeybird,Prodotiscus insignis
3290,Puvel's Illadopsis,Illadopsis puveli
1144,Woodhouse's  Antpecker,Parmoptila woodhousei
1556,African Dwarf Kingfisher,Ispidina lecontei
2606,Yellow-eyed Black Flycatcher,Melaenornis ardesiacus
1112,Cameroon Greenbul,Arizelocichla montana
2516,Annobon Paradise Flycatcher,Terpsiphone smithii
2780,Ashy Starling,Lamprotornis unicolor
3482,Athi Short-toed Lark,Alaudala athensis
3168,Red-winged Grey Warbler,Drymocichla incana
3760,Dybowski's Twinspot,Euschistospiza dybowskii
4118,Yellow-browed Seedeater,Crithagra whytii
3246,Bamboo Warbler,Locustella alfredi
1642,Black-collared Lovebird,Agapornis swindernianus
1244,Grey-breasted Spurfowl,Pternistis rufopictus
